X,Y,gid,Name,description,altitudeMode,CODE_10KM,CD_SIG,FID,Field_1
6.35626953903781,49.1079278676004,7603,10kmL93E094N689,,clampToGround,E094N689,10kmL93E094N689,7602,10kmL93E094N689
5.98575891101948,40.2969939495344,7610,10kmL93E095N591,,clampToGround,E095N591,10kmL93E095N591,7609,10kmL93E095N591
6.01706054292375,40.9242752343332,7617,10kmL93E095N598,,clampToGround,E095N598,10kmL93E095N598,7616,10kmL93E095N598
6.05828256060258,41.7315946462405,7624,10kmL93E095N607,,clampToGround,E095N607,10kmL93E095N607,7623,10kmL93E095N607
6.09113085974492,42.3600571955149,7631,10kmL93E095N614,,clampToGround,E095N614,10kmL93E095N614,7630,10kmL93E095N614
6.12469208007132,42.9889221118062,7638,10kmL93E095N621,,clampToGround,E095N621,10kmL93E095N621,7637,10kmL93E095N621
6.15898967295397,43.6181184329355,7645,10kmL93E095N628,,clampToGround,E095N628,10kmL93E095N628,7644,10kmL93E095N628
6.19404812916992,44.2475743024279,7652,10kmL93E095N635,,clampToGround,E095N635,10kmL93E095N635,7651,10kmL93E095N635
6.22989303709894,44.8772169845104,7659,10kmL93E095N642,,clampToGround,E095N642,10kmL93E095N642,7658,10kmL93E095N642
6.26655114487368,45.5069728792655,7666,10kmL93E095N649,,clampToGround,E095N649,10kmL93E095N649,7665,10kmL93E095N649
6.30405042679873,46.1367675378873,7673,10kmL93E095N656,,clampToGround,E095N656,10kmL93E095N656,7672,10kmL93E095N656
6.56195793629244,48.111548068106,7680,10kmL93E096N678,,clampToGround,E096N678,10kmL93E096N678,7679,10kmL93E096N678
6.604883262086,48.7406462789685,7687,10kmL93E096N685,,clampToGround,E096N685,10kmL93E096N685,7686,10kmL93E096N685
6.64885505341806,49.3693869265537,7694,10kmL93E096N692,,clampToGround,E096N692,10kmL93E096N692,7693,10kmL93E096N692
6.29288103049907,41.6346350450099,7701,10kmL93E097N606,,clampToGround,E097N606,10kmL93E097N606,7700,10kmL93E097N606
6.32818913857471,42.2629517150116,7708,10kmL93E097N613,,clampToGround,E097N613,10kmL93E097N613,7707,10kmL93E097N613
6.36426217734972,42.8916798478621,7715,10kmL93E097N620,,clampToGround,E097N620,10kmL93E097N620,7714,10kmL93E097N620
6.40112526119463,43.5207485892323,7722,10kmL93E097N627,,clampToGround,E097N627,10kmL93E097N627,7721,10kmL93E097N627
6.43880461535487,44.150086187255,7729,10kmL93E097N634,,clampToGround,E097N634,10kmL93E097N634,7728,10kmL93E097N634
6.47732763801841,44.7796200074316,7736,10kmL93E097N641,,clampToGround,E097N641,10kmL93E097N641,7735,10kmL93E097N641
6.51672296658907,45.4092765476982,7743,10kmL93E097N648,,clampToGround,E097N648,10kmL93E097N648,7742,10kmL93E097N648
6.55702054850157,46.0389814535976,7750,10kmL93E097N655,,clampToGround,E097N655,10kmL93E097N655,7749,10kmL93E097N655
6.62829224367395,47.1183710919308,7757,10kmL93E097N667,,clampToGround,E097N667,10kmL93E097N667,7756,10kmL93E097N667
6.67120101329009,47.7478258889913,7764,10kmL93E097N674,,clampToGround,E097N674,10kmL93E097N674,7763,10kmL93E097N674
6.71513606364434,48.3770456687687,7771,10kmL93E097N681,,clampToGround,E097N681,10kmL93E097N681,7770,10kmL93E097N681
6.76013463167411,49.0059522626314,7778,10kmL93E097N688,,clampToGround,E097N688,10kmL93E097N688,7777,10kmL93E097N688
6.4228498408357,41.8102836523244,7785,10kmL93E098N608,,clampToGround,E098N608,10kmL93E098N608,7784,10kmL93E098N608
6.45966096989991,42.4386812554633,7792,10kmL93E098N615,,clampToGround,E098N615,10kmL93E098N615,7791,10kmL93E098N615
6.49727195622793,43.067469655697,7799,10kmL93E098N622,,clampToGround,E098N622,10kmL93E098N622,7798,10kmL93E098N622
6.53570913830345,43.6965777294393,7806,10kmL93E098N629,,clampToGround,E098N629,10kmL93E098N629,7805,10kmL93E098N629
6.5750000230424,44.3259334592084,7813,10kmL93E098N636,,clampToGround,E098N636,10kmL93E098N636,7812,10kmL93E098N636
6.61517335126632,44.9554639485488,7820,10kmL93E098N643,,clampToGround,E098N643,10kmL93E098N643,7819,10kmL93E098N643
6.65625916762501,45.585095437097,7827,10kmL93E098N650,,clampToGround,E098N650,10kmL93E098N650,7826,10kmL93E098N650
6.69828889532489,46.214753315735,7834,10kmL93E098N657,,clampToGround,E098N657,10kmL93E098N657,7833,10kmL93E098N657
6.77896164722133,47.3839300225509,7841,10kmL93E098N670,,clampToGround,E098N670,10kmL93E098N670,7840,10kmL93E098N670
6.82387478290734,48.0132448162238,7848,10kmL93E098N677,,clampToGround,E098N677,10kmL93E098N677,7847,10kmL93E098N677
6.86986748457114,48.6422905484891,7855,10kmL93E098N684,,clampToGround,E098N684,10kmL93E098N684,7854,10kmL93E098N684
6.52671077722873,41.5371660768669,7862,10kmL93E099N605,,clampToGround,E099N605,10kmL93E099N605,7861,10kmL93E099N605
6.56446169031314,42.1653295094217,7869,10kmL93E099N612,,clampToGround,E099N612,10kmL93E099N612,7868,10kmL93E099N612
6.60302897451194,42.7939134158844,7876,10kmL93E099N619,,clampToGround,E099N619,10kmL93E099N619,7875,10kmL93E099N619
6.64243938157246,43.422847048843,7883,10kmL93E099N626,,clampToGround,E099N626,10kmL93E099N626,7882,10kmL93E099N626
6.68272084413213,44.0520587600467,7890,10kmL93E099N633,,clampToGround,E099N633,10kmL93E099N633,7889,10kmL93E099N633
6.7239025415558,44.681476015217,7897,10kmL93E099N640,,clampToGround,E099N640,10kmL93E099N640,7896,10kmL93E099N640
6.76601497022405,45.3110254090207,7904,10kmL93E099N647,,clampToGround,E099N647,10kmL93E099N647,7903,10kmL93E099N647
6.80909001862722,45.9406326801535,7911,10kmL93E099N654,,clampToGround,E099N654,10kmL93E099N654,7910,10kmL93E099N654
6.89826297648847,47.1997196201583,7918,10kmL93E099N668,,clampToGround,E099N668,10kmL93E099N668,7917,10kmL93E099N668
6.94443237460801,47.8290466227335,7925,10kmL93E099N675,,clampToGround,E099N675,10kmL93E099N675,7924,10kmL93E099N675
6.99170756034135,48.4581262000599,7932,10kmL93E099N682,,clampToGround,E099N682,10kmL93E099N682,7931,10kmL93E099N682
7.04012870659174,49.0868800370611,7939,10kmL93E099N689,,clampToGround,E099N689,10kmL93E099N689,7938,10kmL93E099N689
6.67949233788259,42.0714475161204,7946,10kmL93E100N611,,clampToGround,E100N611,10kmL93E100N611,7945,10kmL93E100N611
6.7192391203738,42.6999285103436,7953,10kmL93E100N618,,clampToGround,E100N618,10kmL93E100N618,7952,10kmL93E100N618
6.75985333355238,43.3287688378389,7960,10kmL93E100N625,,clampToGround,E100N625,10kmL93E100N625,7959,10kmL93E100N625
6.80136366460807,43.9578969657823,7967,10kmL93E100N632,,clampToGround,E100N632,10kmL93E100N632,7966,10kmL93E100N632
6.84380007878671,44.5872404725404,7974,10kmL93E100N639,,clampToGround,E100N639,10kmL93E100N639,7973,10kmL93E100N639
6.89977251712693,45.3965948291675,7981,10kmL93E100N648,,clampToGround,E100N648,10kmL93E100N648,7980,10kmL93E100N648
6.95091107479985,46.1160904710161,7988,10kmL93E100N656,,clampToGround,E100N656,10kmL93E100N656,7987,10kmL93E100N656
7.07790821138572,47.8244766466544,7995,10kmL93E100N675,,clampToGround,E100N675,10kmL93E100N675,7994,10kmL93E100N675
7.12677744399378,48.4535034666744,8002,10kmL93E100N682,,clampToGround,E100N682,10kmL93E100N682,8001,10kmL93E100N682
7.17683106609735,49.0822038497875,8009,10kmL93E100N689,,clampToGround,E100N689,10kmL93E100N689,8008,10kmL93E100N689
6.80575788241911,42.1569450171724,8016,10kmL93E101N612,,clampToGround,E101N612,10kmL93E101N612,8015,10kmL93E101N612
6.84692801691129,42.7854328896745,8023,10kmL93E101N619,,clampToGround,E101N619,10kmL93E101N619,8022,10kmL93E101N619
6.88899791006899,43.414269355904,8030,10kmL93E101N626,,clampToGround,E101N626,10kmL93E101N626,8029,10kmL93E101N626
6.93199735895177,44.0433827423013,8037,10kmL93E101N633,,clampToGround,E101N633,10kmL93E101N633,8036,10kmL93E101N633
6.97595748988524,44.6727004879375,8044,10kmL93E101N640,,clampToGround,E101N640,10kmL93E101N640,8043,10kmL93E101N640
7.04048897134724,45.5719345748105,8051,10kmL93E101N650,,clampToGround,E101N650,10kmL93E101N650,8050,10kmL93E101N650
7.19716143461785,47.6399992589803,8058,10kmL93E101N673,,clampToGround,E101N673,10kmL93E101N673,8057,10kmL93E101N673
7.2472824605796,48.2690506210408,8065,10kmL93E101N680,,clampToGround,E101N680,10kmL93E101N680,8064,10kmL93E101N680
7.29861381324642,48.8977972925741,8072,10kmL93E101N687,,clampToGround,E101N687,10kmL93E101N687,8071,10kmL93E101N687
8.58732420060787,41.8077643884077,8079,10kmL93E116N609,,clampToGround,E116N609,10kmL93E116N609,8078,10kmL93E116N609
8.64737829552357,42.4351661968953,8086,10kmL93E116N616,,clampToGround,E116N616,10kmL93E116N616,8085,10kmL93E116N616
8.70873509889301,43.0629363259714,8093,10kmL93E116N623,,clampToGround,E116N623,10kmL93E116N623,8092,10kmL93E116N623
8.66405054037985,41.3535182648275,8100,10kmL93E117N604,,clampToGround,E117N604,10kmL93E117N604,8099,10kmL93E117N604
8.72445827138061,41.9805409123571,8107,10kmL93E117N611,,clampToGround,E117N611,10kmL93E117N611,8106,10kmL93E117N611
8.78616607182476,42.6079815619897,8114,10kmL93E117N618,,clampToGround,E117N618,10kmL93E117N618,8113,10kmL93E117N618
-6.75271301999241,47.306265647556,8121,10kmL93W-04N673,,clampToGround,W-04N673,10kmL93W-04N673,8120,10kmL93W-04N673
-6.8681959458713,47.9314802769812,8128,10kmL93W-04N680,,clampToGround,W-04N680,10kmL93W-04N680,8127,10kmL93W-04N680
-6.98643176724108,48.5563404549114,8135,10kmL93W-04N687,,clampToGround,W-04N687,10kmL93W-04N687,8134,10kmL93W-04N687
-6.5953046650739,45.6866534663363,8142,10kmL93W-05N655,,clampToGround,W-05N655,10kmL93W-05N655,8141,10kmL93W-05N655
-6.70556969306818,46.3122929253607,8149,10kmL93W-05N662,,clampToGround,W-05N662,10kmL93W-05N662,8148,10kmL93W-05N662
6.93239114342612,42.2422998949492,8156,10kmL93E102N613,,clampToGround,E102N613,10kmL93E102N613,8155,10kmL93E102N613
6.97499258433647,42.8707914697738,8163,10kmL93E102N620,,clampToGround,E102N620,10kmL93E102N620,8162,10kmL93E102N620
7.01852637216111,43.4996208584323,8170,10kmL93E102N627,,clampToGround,E102N627,10kmL93E102N627,8169,10kmL93E102N627
7.06302342527952,44.1287162463365,8177,10kmL93E102N634,,clampToGround,E102N634,10kmL93E102N634,8176,10kmL93E102N634
7.16177004077763,45.4773342786923,8184,10kmL93E102N649,,clampToGround,E102N649,10kmL93E102N649,8183,10kmL93E102N649
7.35953588314562,47.9946001198952,8191,10kmL93E102N677,,clampToGround,E102N677,10kmL93E102N677,8190,10kmL93E102N677
7.41194636166644,48.623430526918,8198,10kmL93E102N684,,clampToGround,E102N684,10kmL93E102N684,8197,10kmL93E102N684
7.0223887936809,41.7891179141975,8205,10kmL93E103N608,,clampToGround,E103N608,10kmL93E103N608,8204,10kmL93E103N608
7.06562669222032,42.4172731350844,8212,10kmL93E103N615,,clampToGround,E103N615,10kmL93E103N615,8211,10kmL93E103N615
7.10980339832313,43.0458163107187,8219,10kmL93E103N622,,clampToGround,E103N622,10kmL93E103N622,8218,10kmL93E103N622
7.15494979495342,43.6746762551031,8226,10kmL93E103N629,,clampToGround,E103N629,10kmL93E103N629,8225,10kmL93E103N629
7.44810362298355,47.4503904682069,8233,10kmL93E103N671,,clampToGround,E103N671,10kmL93E103N671,8232,10kmL93E103N671
7.50102784853379,48.079401089745,8240,10kmL93E103N678,,clampToGround,E103N678,10kmL93E103N678,8239,10kmL93E103N678
7.55522522698962,48.7081279400102,8247,10kmL93E103N685,,clampToGround,E103N685,10kmL93E103N685,8246,10kmL93E103N685
7.15486672567547,41.9638902955967,8254,10kmL93E104N610,,clampToGround,E104N610,10kmL93E104N610,8253,10kmL93E104N610
7.19966122243187,42.5921102519707,8261,10kmL93E104N617,,clampToGround,E104N617,10kmL93E104N617,8260,10kmL93E104N617
7.24543118344072,43.2206972901416,8268,10kmL93E104N624,,clampToGround,E104N624,10kmL93E104N624,8267,10kmL93E104N624
7.29220879087899,43.8495799524279,8275,10kmL93E104N631,,clampToGround,E104N631,10kmL93E104N631,8274,10kmL93E104N631
7.61157079151176,47.8046778358988,8282,10kmL93E104N675,,clampToGround,E104N675,10kmL93E104N675,8281,10kmL93E104N675
7.66680746977801,48.4334761523005,8289,10kmL93E104N682,,clampToGround,E104N682,10kmL93E104N682,8288,10kmL93E104N682
7.72338182551697,49.0619450176519,8296,10kmL93E104N689,,clampToGround,E104N689,10kmL93E104N689,8295,10kmL93E104N689
7.30127922043587,42.3179993729228,8303,10kmL93E105N614,,clampToGround,E105N614,10kmL93E105N614,8302,10kmL93E105N614
7.34793393464837,42.9463825423313,8310,10kmL93E105N621,,clampToGround,E105N621,10kmL93E105N621,8309,10kmL93E105N621
7.39561079066277,43.575091418205,8317,10kmL93E105N628,,clampToGround,E105N628,10kmL93E105N628,8316,10kmL93E105N628
7.793547568202,48.3382842748268,8324,10kmL93E105N681,,clampToGround,E105N681,10kmL93E105N681,8323,10kmL93E105N681
7.8515500809598,48.9667428525349,8331,10kmL93E105N688,,clampToGround,E105N688,10kmL93E105N688,8330,10kmL93E105N688
7.4086774731485,42.1335851522086,8338,10kmL93E106N612,,clampToGround,E106N612,10kmL93E106N612,8337,10kmL93E106N612
7.45634422541231,42.7618055419633,8345,10kmL93E106N619,,clampToGround,E106N619,10kmL93E106N619,8344,10kmL93E106N619
7.50505186241198,43.3903713736705,8352,10kmL93E106N626,,clampToGround,E106N626,10kmL93E106N626,8351,10kmL93E106N626
7.55483481645252,44.0192109035016,8359,10kmL93E106N633,,clampToGround,E106N633,10kmL93E106N633,8358,10kmL93E106N633
7.99649065511264,49.0508837618609,8366,10kmL93E106N689,,clampToGround,E106N689,10kmL93E106N689,8365,10kmL93E106N689
