id,Y,X
79,48.462222394700454,-5.120644277411975
399,48.46529212577678,-5.075796066813513
2639,48.4863055028469,-4.761713747272752
2640,48.456466097845045,-4.757289798079918
2641,48.42662583893197,-4.7528708728504325
2642,48.39678473470919,-4.748456963058744
2643,48.3669427937742,-4.744048060198532
2644,48.33710002472022,-4.739644155782617
2654,48.03862867520958,-4.695878172477255
2957,48.54891897473722,-4.7256368928839505
2958,48.51907970254853,-4.721228184729275
2959,48.489239560224156,-4.716824489427239
2960,48.459398556372584,-4.712425798460365
2961,48.42955669959819,-4.708032103330406
2962,48.399713998501205,-4.703643395558277
2963,48.3698704616778,-4.699259666684017
2974,48.04153885303815,-4.651364855750006
3277,48.551839242788695,-4.680692012634674
3278,48.521998378928,-4.67630862763537
3279,48.49215664591716,-4.671930227249761
3280,48.46231405236338,-4.667556803007092
3281,48.43247060686975,-4.663188346455734
3282,48.402626318035196,-4.6588248491631195
3283,48.37278119445461,-4.65446630271571
3294,48.04443219582783,-4.606846660175921
3597,48.55474251811802,-4.635742139284983
3598,48.524900071746956,-4.631384085930972
3599,48.49505675720582,-4.627030988932534
3600,48.46521258310055,-4.6226828398656865
3601,48.435367558032965,-4.618339630325483
3602,48.405521690600686,-4.614001351925925
3603,48.375674989397375,-4.609667996299944
3604,48.34582746301238,-4.605339555099315
3607,48.25628001861485,-4.592383634849145
3613,48.07716400759868,-4.566603365246103
3614,48.047308700906214,-4.562323613258444
3615,48.017452663242715,-4.558048685095439
3916,48.58747194192658,-4.595124950880033
3918,48.52778477829749,-4.586454587874182
3919,48.49793989138545,-4.5821268026868776
3920,48.468094145882624,-4.5778039372008035
3921,48.43824755038957,-4.5734859830577355
3922,48.40840011350263,-4.569172931918302
3923,48.378551843814186,-4.564864775461959
3925,48.318852840396026,-4.556263113410051
3926,48.28900212381547,-4.551969591266959
3927,48.259150608761274,-4.547680930711791
3928,48.22929830380506,-4.543397123517263
3929,48.19944521751434,-4.539118161474578
3933,48.08002523021168,-4.522050601290929
3934,48.050168365616095,-4.517795742519349
3935,48.020310771003984,-4.5135456800323945
4235,48.62018661445699,-4.554456988847975
4236,48.59034278884182,-4.550139799436002
4237,48.56049807978139,-4.545827526523419
4238,48.53065249588723,-4.541520161742175
4239,48.50080604576684,-4.537217696743145
4240,48.47095873802359,-4.532920123196064
4241,48.441110581256716,-4.528627432789485
4242,48.41126158406134,-4.52433961723072
4243,48.38141175502856,-4.520056668245802
4247,48.262004292214186,-4.502973373216883
4253,48.0828696007327,-4.477493032955262
4254,48.0530111873154,-4.473263075498647
4255,48.02315204483078,-4.469037886768492
4256,47.99329218181609,-4.464817458729321
4556,48.593196625771476,-4.5051497314957425
4557,48.56335036073973,-4.50086284377879
4558,48.53350322183926,-4.496580835831104
4559,48.50365521767627,-4.4923036993505985
4560,48.47380635685284,-4.4880314260539445
4561,48.44395664796699,-4.483764007676534
4562,48.41410609961255,-4.479501435972406
4563,48.38425472037938,-4.475243702714225
4567,48.264841066325026,-4.458260990242281
4573,48.08569711653176,-4.432930687842627
4574,48.055837163377326,-4.428725639754488
4575,48.02597648209937,-4.424525332816606
4576,47.99611508123394,-4.420329759038831
4577,47.96625296931291,-4.416138910448899
4875,48.62588038035272,-4.464421129330967
4876,48.596033450047784,-4.460154775468452
4877,48.56618563822458,-4.455893281268027
4878,48.53633695349216,-4.45163663845598
4879,48.50648740445545,-4.447384838777316
4880,48.476636999715296,-4.443137873995695
4881,48.44678574786842,-4.438895735893395
4882,48.41693365750745,-4.434658416271243
4884,48.35722699559328,-4.426198199763189
4887,48.267660928460565,-4.413543809684243
4888,48.237803987229995,-4.409335229793069
